title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
Read with Me Bible: An NIV Story Bible for Children,Anonymous,,"Jones, Dennis",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Beginner's Bible: Timeless Bible Stories,Anonymous,,"Pulley, Kelly",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Christmas Story: According to the Gospels of Matthew and Luke from the King James Bible,Anonymous,,"Spirin, Gennady",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
"The Easter Story: According to the Gospels of Matthew, Luke, and John from the King James Bible",Anonymous,,"Spirin, Gennady",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Holy Bible (King James Version),Anonymous,The Gideon's International,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Holy Bible (King James Version),Anonymous,The Gideon's International,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
"The Holy Bible: Revised Standard Version Containing the Old and New Testaments, with the Apocrypha/Deuterocanonical Books",Anonymous,,,,Fontana Religious,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The New American Bible,Anonymous,,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
"Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 1","Araki, Hirohiko",,,"Galloway, Evan",JoJo's Bizarre Adventure,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 2","Araki, Hirohiko",,,"Galloway, Evan",JoJo's Bizarre Adventure,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 3","Araki, Hirohiko",,,"Galloway, Evan",JoJo's Bizarre Adventure,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Every Last Breath,"Armentrout, Jennifer L.",,,,The Dark Elements,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
